wavelength_nm,hbo2_cm1_M1,hbr_cm1_M1,source,source_version
250,106112,112736,MNE-Python extinction_coef.mat (Prahl/OMLC),b1fb8933a2ba62028b1dac3ae8bc24da0220d00e
252,105552,112736,MNE-Python extinction_coef.mat (Prahl/OMLC),b1fb8933a2ba62028b1dac3ae8bc24da0220d00e
254,107660,112736,MNE-Python extinction_coef.mat (Prahl/OMLC),b1fb8933a2ba62028b1dac3ae8bc24da0220d00e
256,109788,113824,MNE-Python extinction_coef.mat (Prahl/OMLC),b1fb8933a2ba62028b1dac3ae8bc24da0220d00e
258,112944,115040,MNE-Python extinction_coef.mat (Prahl/OMLC),b1fb8933a2ba62028b1dac3ae8bc24da0220d00e
260,116376,116296,MNE-Python extinction_coef.mat (Prahl/OMLC),b1fb8933a2ba62028b1dac3ae8bc24da0220d00e
262,120188,117564,MNE-Python extinction_coef.mat (Prahl/OMLC),b1fb8933a2ba62028b1dac3ae8bc24da0220d00e
264,124412,118876,MNE-Python extinction_coef.mat (Prahl/OMLC),b1fb8933a2ba62028b1dac3ae8bc24da0220d00e
266,128696,120208,MNE-Python extinction_coef.mat (Prahl/OMLC),b1fb8933a2ba62028b1dac3ae8bc24da0220d00e
268,133064,121544,MNE-Python extinction_coef.mat (Prahl/OMLC),b1fb8933a2ba62028b1dac3ae8bc24da0220d00e
270,136068,122880,MNE-Python extinction_coef.mat (Prahl/OMLC),b1fb8933a2ba62028b1dac3ae8bc24da0220d00e
272,137232,123096,MNE-Python extinction_coef.mat (Prahl/OMLC),b1fb8933a2ba62028b1dac3ae8bc24da0220d00e
274,138408,121952,MNE-Python extinction_coef.mat (Prahl/OMLC),b1fb8933a2ba62028b1dac3ae8bc24da0220d00e
276,137424,120808,MNE-Python extinction_coef.mat (Prahl/OMLC),b1fb8933a2ba62028b1dac3ae8bc24da0220d00e
278,135820,119840,MNE-Python extinction_coef.mat (Prahl/OMLC),b1fb8933a2ba62028b1dac3ae8bc24da0220d00e
280,131936,118872,MNE-Python extinction_coef.mat (Prahl/OMLC),b1fb8933a2ba62028b1dac3ae8bc24da0220d00e
282,127720,117628,MNE-Python extinction_coef.mat (Prahl/OMLC),b1fb8933a2ba62028b1dac3ae8bc24da0220d00e
284,122280,114820,MNE-Python extinction_coef.mat (Prahl/OMLC),b1fb8933a2ba62028b1dac3ae8bc24da0220d00e
286,116508,112008,MNE-Python extinction_coef.mat (Prahl/OMLC),b1fb8933a2ba62028b1dac3ae8bc24da0220d00e
288,108484,107140,MNE-Python extinction_coef.mat (Prahl/OMLC),b1fb8933a2ba62028b1dac3ae8bc24da0220d00e
290,104752,98364,MNE-Python extinction_coef.mat (Prahl/OMLC),b1fb8933a2ba62028b1dac3ae8bc24da0220d00e
292,98936,91636,MNE-Python extinction_coef.mat (Prahl/OMLC),b1fb8933a2ba62028b1dac3ae8bc24da0220d00e
294,88136,85820,MNE-Python extinction_coef.mat (Prahl/OMLC),b1fb8933a2ba62028b1dac3ae8bc24da0220d00e
296,79316,77100,MNE-Python extinction_coef.mat (Prahl/OMLC),b1fb8933a2ba62028b1dac3ae8bc24da0220d00e
298,70884,69444,MNE-Python extinction_coef.mat (Prahl/OMLC),b1fb8933a2ba62028b1dac3ae8bc24da0220d00e
300,65972,64440,MNE-Python extinction_coef.mat (Prahl/OMLC),b1fb8933a2ba62028b1dac3ae8bc24da0220d00e
302,63208,61300,MNE-Python extinction_coef.mat (Prahl/OMLC),b1fb8933a2ba62028b1dac3ae8bc24da0220d00e
304,61952,58828,MNE-Python extinction_coef.mat (Prahl/OMLC),b1fb8933a2ba62028b1dac3ae8bc24da0220d00e
306,62352,56908,MNE-Python extinction_coef.mat (Prahl/OMLC),b1fb8933a2ba62028b1dac3ae8bc24da0220d00e
308,62856,57620,MNE-Python extinction_coef.mat (Prahl/OMLC),b1fb8933a2ba62028b1dac3ae8bc24da0220d00e
310,63352,59156,MNE-Python extinction_coef.mat (Prahl/OMLC),b1fb8933a2ba62028b1dac3ae8bc24da0220d00e
312,65972,62248,MNE-Python extinction_coef.mat (Prahl/OMLC),b1fb8933a2ba62028b1dac3ae8bc24da0220d00e
314,69016,65344,MNE-Python extinction_coef.mat (Prahl/OMLC),b1fb8933a2ba62028b1dac3ae8bc24da0220d00e
316,72404,68312,MNE-Python extinction_coef.mat (Prahl/OMLC),b1fb8933a2ba62028b1dac3ae8bc24da0220d00e
318,75536,71208,MNE-Python extinction_coef.mat (Prahl/OMLC),b1fb8933a2ba62028b1dac3ae8bc24da0220d00e
320,78752,74508,MNE-Python extinction_coef.mat (Prahl/OMLC),b1fb8933a2ba62028b1dac3ae8bc24da0220d00e
322,82256,78284,MNE-Python extinction_coef.mat (Prahl/OMLC),b1fb8933a2ba62028b1dac3ae8bc24da0220d00e
324,85972,82060,MNE-Python extinction_coef.mat (Prahl/OMLC),b1fb8933a2ba62028b1dac3ae8bc24da0220d00e
326,89796,85592,MNE-Python extinction_coef.mat (Prahl/OMLC),b1fb8933a2ba62028b1dac3ae8bc24da0220d00e
328,93768,88516,MNE-Python extinction_coef.mat (Prahl/OMLC),b1fb8933a2ba62028b1dac3ae8bc24da0220d00e
330,97512,90856,MNE-Python extinction_coef.mat (Prahl/OMLC),b1fb8933a2ba62028b1dac3ae8bc24da0220d00e
332,100964,93192,MNE-Python extinction_coef.mat (Prahl/OMLC),b1fb8933a2ba62028b1dac3ae8bc24da0220d00e
334,103504,95532,MNE-Python extinction_coef.mat (Prahl/OMLC),b1fb8933a2ba62028b1dac3ae8bc24da0220d00e
336,104968,99792,MNE-Python extinction_coef.mat (Prahl/OMLC),b1fb8933a2ba62028b1dac3ae8bc24da0220d00e
338,106452,104476,MNE-Python extinction_coef.mat (Prahl/OMLC),b1fb8933a2ba62028b1dac3ae8bc24da0220d00e
340,107884,108472,MNE-Python extinction_coef.mat (Prahl/OMLC),b1fb8933a2ba62028b1dac3ae8bc24da0220d00e
342,109060,110996,MNE-Python extinction_coef.mat (Prahl/OMLC),b1fb8933a2ba62028b1dac3ae8bc24da0220d00e
344,110092,113524,MNE-Python extinction_coef.mat (Prahl/OMLC),b1fb8933a2ba62028b1dac3ae8bc24da0220d00e
346,109032,116052,MNE-Python extinction_coef.mat (Prahl/OMLC),b1fb8933a2ba62028b1dac3ae8bc24da0220d00e
348,107984,118752,MNE-Python extinction_coef.mat (Prahl/OMLC),b1fb8933a2ba62028b1dac3ae8bc24da0220d00e
350,106576,122092,MNE-Python extinction_coef.mat (Prahl/OMLC),b1fb8933a2ba62028b1dac3ae8bc24da0220d00e
352,105040,125436,MNE-Python extinction_coef.mat (Prahl/OMLC),b1fb8933a2ba62028b1dac3ae8bc24da0220d00e
354,103696,128776,MNE-Python extinction_coef.mat (Prahl/OMLC),b1fb8933a2ba62028b1dac3ae8bc24da0220d00e
356,101568,132120,MNE-Python extinction_coef.mat (Prahl/OMLC),b1fb8933a2ba62028b1dac3ae8bc24da0220d00e
358,97828,133632,MNE-Python extinction_coef.mat (Prahl/OMLC),b1fb8933a2ba62028b1dac3ae8bc24da0220d00e
360,94744,134940,MNE-Python extinction_coef.mat (Prahl/OMLC),b1fb8933a2ba62028b1dac3ae8bc24da0220d00e
362,92248,136044,MNE-Python extinction_coef.mat (Prahl/OMLC),b1fb8933a2ba62028b1dac3ae8bc24da0220d00e
364,89836,136972,MNE-Python extinction_coef.mat (Prahl/OMLC),b1fb8933a2ba62028b1dac3ae8bc24da0220d00e
366,88484,137900,MNE-Python extinction_coef.mat (Prahl/OMLC),b1fb8933a2ba62028b1dac3ae8bc24da0220d00e
368,87512,138856,MNE-Python extinction_coef.mat (Prahl/OMLC),b1fb8933a2ba62028b1dac3ae8bc24da0220d00e
370,88176,139968,MNE-Python extinction_coef.mat (Prahl/OMLC),b1fb8933a2ba62028b1dac3ae8bc24da0220d00e
372,91592,141084,MNE-Python extinction_coef.mat (Prahl/OMLC),b1fb8933a2ba62028b1dac3ae8bc24da0220d00e
374,95140,142196,MNE-Python extinction_coef.mat (Prahl/OMLC),b1fb8933a2ba62028b1dac3ae8bc24da0220d00e
376,98936,143312,MNE-Python extinction_coef.mat (Prahl/OMLC),b1fb8933a2ba62028b1dac3ae8bc24da0220d00e
378,103432,144424,MNE-Python extinction_coef.mat (Prahl/OMLC),b1fb8933a2ba62028b1dac3ae8bc24da0220d00e
380,109564,145232,MNE-Python extinction_coef.mat (Prahl/OMLC),b1fb8933a2ba62028b1dac3ae8bc24da0220d00e
382,116968,145232,MNE-Python extinction_coef.mat (Prahl/OMLC),b1fb8933a2ba62028b1dac3ae8bc24da0220d00e
384,125420,148668,MNE-Python extinction_coef.mat (Prahl/OMLC),b1fb8933a2ba62028b1dac3ae8bc24da0220d00e
386,135132,153908,MNE-Python extinction_coef.mat (Prahl/OMLC),b1fb8933a2ba62028b1dac3ae8bc24da0220d00e
388,148100,159544,MNE-Python extinction_coef.mat (Prahl/OMLC),b1fb8933a2ba62028b1dac3ae8bc24da0220d00e
390,167748,167780,MNE-Python extinction_coef.mat (Prahl/OMLC),b1fb8933a2ba62028b1dac3ae8bc24da0220d00e
392,189740,180004,MNE-Python extinction_coef.mat (Prahl/OMLC),b1fb8933a2ba62028b1dac3ae8bc24da0220d00e
394,212060,191540,MNE-Python extinction_coef.mat (Prahl/OMLC),b1fb8933a2ba62028b1dac3ae8bc24da0220d00e
396,231612,202124,MNE-Python extinction_coef.mat (Prahl/OMLC),b1fb8933a2ba62028b1dac3ae8bc24da0220d00e
398,248404,212712,MNE-Python extinction_coef.mat (Prahl/OMLC),b1fb8933a2ba62028b1dac3ae8bc24da0220d00e
400,266232,223296,MNE-Python extinction_coef.mat (Prahl/OMLC),b1fb8933a2ba62028b1dac3ae8bc24da0220d00e
402,284224,236188,MNE-Python extinction_coef.mat (Prahl/OMLC),b1fb8933a2ba62028b1dac3ae8bc24da0220d00e
404,308716,253368,MNE-Python extinction_coef.mat (Prahl/OMLC),b1fb8933a2ba62028b1dac3ae8bc24da0220d00e
406,354208,270548,MNE-Python extinction_coef.mat (Prahl/OMLC),b1fb8933a2ba62028b1dac3ae8bc24da0220d00e
408,422320,287356,MNE-Python extinction_coef.mat (Prahl/OMLC),b1fb8933a2ba62028b1dac3ae8bc24da0220d00e
410,466840,303956,MNE-Python extinction_coef.mat (Prahl/OMLC),b1fb8933a2ba62028b1dac3ae8bc24da0220d00e
412,500200,321344,MNE-Python extinction_coef.mat (Prahl/OMLC),b1fb8933a2ba62028b1dac3ae8bc24da0220d00e
414,524280,342596,MNE-Python extinction_coef.mat (Prahl/OMLC),b1fb8933a2ba62028b1dac3ae8bc24da0220d00e
416,521880,363848,MNE-Python extinction_coef.mat (Prahl/OMLC),b1fb8933a2ba62028b1dac3ae8bc24da0220d00e
418,515520,385680,MNE-Python extinction_coef.mat (Prahl/OMLC),b1fb8933a2ba62028b1dac3ae8bc24da0220d00e
420,480360,407560,MNE-Python extinction_coef.mat (Prahl/OMLC),b1fb8933a2ba62028b1dac3ae8bc24da0220d00e
422,431880,429880,MNE-Python extinction_coef.mat (Prahl/OMLC),b1fb8933a2ba62028b1dac3ae8bc24da0220d00e
424,376236,461200,MNE-Python extinction_coef.mat (Prahl/OMLC),b1fb8933a2ba62028b1dac3ae8bc24da0220d00e
426,326032,481840,MNE-Python extinction_coef.mat (Prahl/OMLC),b1fb8933a2ba62028b1dac3ae8bc24da0220d00e
428,283112,500840,MNE-Python extinction_coef.mat (Prahl/OMLC),b1fb8933a2ba62028b1dac3ae8bc24da0220d00e
430,246072,528600,MNE-Python extinction_coef.mat (Prahl/OMLC),b1fb8933a2ba62028b1dac3ae8bc24da0220d00e
432,214120,552160,MNE-Python extinction_coef.mat (Prahl/OMLC),b1fb8933a2ba62028b1dac3ae8bc24da0220d00e
434,165332,552160,MNE-Python extinction_coef.mat (Prahl/OMLC),b1fb8933a2ba62028b1dac3ae8bc24da0220d00e
436,132820,547040,MNE-Python extinction_coef.mat (Prahl/OMLC),b1fb8933a2ba62028b1dac3ae8bc24da0220d00e
438,119140,501560,MNE-Python extinction_coef.mat (Prahl/OMLC),b1fb8933a2ba62028b1dac3ae8bc24da0220d00e
440,102580,413280,MNE-Python extinction_coef.mat (Prahl/OMLC),b1fb8933a2ba62028b1dac3ae8bc24da0220d00e
442,92780,363240,MNE-Python extinction_coef.mat (Prahl/OMLC),b1fb8933a2ba62028b1dac3ae8bc24da0220d00e
444,81444,282724,MNE-Python extinction_coef.mat (Prahl/OMLC),b1fb8933a2ba62028b1dac3ae8bc24da0220d00e
446,76324,237224,MNE-Python extinction_coef.mat (Prahl/OMLC),b1fb8933a2ba62028b1dac3ae8bc24da0220d00e
448,67044,173320,MNE-Python extinction_coef.mat (Prahl/OMLC),b1fb8933a2ba62028b1dac3ae8bc24da0220d00e
450,62816,103292,MNE-Python extinction_coef.mat (Prahl/OMLC),b1fb8933a2ba62028b1dac3ae8bc24da0220d00e
452,58864,62640,MNE-Python extinction_coef.mat (Prahl/OMLC),b1fb8933a2ba62028b1dac3ae8bc24da0220d00e
454,53552,36170,MNE-Python extinction_coef.mat (Prahl/OMLC),b1fb8933a2ba62028b1dac3ae8bc24da0220d00e
456,49496,30698.8,MNE-Python extinction_coef.mat (Prahl/OMLC),b1fb8933a2ba62028b1dac3ae8bc24da0220d00e
458,47496,25886.4,MNE-Python extinction_coef.mat (Prahl/OMLC),b1fb8933a2ba62028b1dac3ae8bc24da0220d00e
460,44480,23388.8,MNE-Python extinction_coef.mat (Prahl/OMLC),b1fb8933a2ba62028b1dac3ae8bc24da0220d00e
462,41320,20891.2,MNE-Python extinction_coef.mat (Prahl/OMLC),b1fb8933a2ba62028b1dac3ae8bc24da0220d00e
464,39807.2,19260.8,MNE-Python extinction_coef.mat (Prahl/OMLC),b1fb8933a2ba62028b1dac3ae8bc24da0220d00e
466,37073.2,18142.4,MNE-Python extinction_coef.mat (Prahl/OMLC),b1fb8933a2ba62028b1dac3ae8bc24da0220d00e
468,34870.8,17025.6,MNE-Python extinction_coef.mat (Prahl/OMLC),b1fb8933a2ba62028b1dac3ae8bc24da0220d00e
470,33209.2,16156.4,MNE-Python extinction_coef.mat (Prahl/OMLC),b1fb8933a2ba62028b1dac3ae8bc24da0220d00e
472,31620,15310,MNE-Python extinction_coef.mat (Prahl/OMLC),b1fb8933a2ba62028b1dac3ae8bc24da0220d00e
474,30113.6,15048.4,MNE-Python extinction_coef.mat (Prahl/OMLC),b1fb8933a2ba62028b1dac3ae8bc24da0220d00e
